Tweet,tweet_english,Sentiment
cryptocurrency topik paling panas tahun sekarang udah mulai lelep overall market drop rata investor retail indonesia udah mulai kapok banyak berita cenderung negatif kaya gin terus masa depan crypto udah mati a thread,Cryptocurrency The hottest topic of the year now has begun lelep overall market drops of the average Indonesian retail investor already starts to give up a lot of news that tends to be negative like the future Crypto is dead a thread,Negatif
bitcoin cryptocurrency kapital besar dunia alami naik signifikan pek nilai roket hingga digit tepat pek akhir,Bitcoin Cryptocurrency Capital Large Natural world rises significant,Positif
renzo rez binance research rez rupa buah liquid restaking protocol mudah guna staking cryptocurrency ethereum eth renzo protokol mudah guna staking cryptocurrency ethereum eth renzo hilang kerumit,Renzo Rez Binance Research Rez forms Liquid Restaking Protocol Easily for Staking Cryptocurrency Ethereum Eth Renzo Easy Protocol for Staking Cryptocurrency Ethheum Eth Renzo Missing True Holiness,Positif
jadi masa depan cryptocurrency mungkin letak sama sekali finance di seluruh ekosistem web the new version of internet hal lagi betul kerja talent handal dorong visi decentralized open internet,So the future of cryptocurrency may be located at all finance throughout the web ecosystem The New Version of the Internet is really true Talent Talent Push Dencentralized Open Internet Vision,Positif
video kama hizi ni mhimu sana kuzingtia kufuatilia na kujifunza kitu cha msingi kwa ajili kujiongezea kipato hii ni full course yenye manufaa,Video Kama Hizi Ni Mhimu there Kuzingtia KufatiLia Na Kujifunza Kitu Cha Msingi Kwa Ajili KujiGezea Kipato Hii Ni Full Course Yenye Manufaaa,Negatif
mulai masuk masa mana orang kaliber tinggi bahas cryptocurrency anti sama crypto tidak paham banyak salah konsep paham crypto web orangorang kaliber sangat jago respected bidang paham,Starting to enter which time high -caliber people discuss anti -cryptocurrency with crypto do not understand much wrong concept of crypto web web people are very good at respect,Negatif
mobee pop up quiz siapa pertama kali kenal konsep cryptocurrency,Mobee Pop Up Quiz Who First Knowing Cryptocurrency Concept,Positif
seperti jabat menggu an ilmu santet biar kembali kenapa pilih bayar jenis coin crypto monero hacker sering pilih cryptocurrency monero xmr monero rancang beri tingkat privasi tinggi guna,Like the jabat using the science of witchcraft so that it returns why choose to pay the Crypto Monero Hacker Coin Type often select Cryptocurrency Monero XMR Monero Design Give a High Privacy Level of Use,Negatif
apa alamat cryptocurrency alamat identifikasi unik digu an kirim terima rangkai huruf angka wakil tuju tiap transaksi lebih paham,What is the Cryptocurrency Address Unique Identification Address.,Positif
benarbenar ramah lingkung ingin dengar dapat ikan komentar bawah gabung cakap,Really friendly environment I want to hear fish to comment below Join Capacity,Positif
berita terpopular sangkut ethereum pek masih agam mulai prediksi harga eth tahun hingga mampu ethereum,Most Popular News of Ethereum Pek is still religious starting to predict the price of ETH years to be able to Ethereum,Positif
jaring tega jahat uang as fincen buah biro departemen uang dapat binance kait platform cryptocurrency ilegal bitzlato,The net of the evil money as fince the bureau of the money department can be binance hooks the illegal cryptocurrency platform Bitzlato,Negatif
bitcoin cryptocurrency lain koreksi hari senin kemarin aset kripto lonjak level tinggi sejak agustus lama akhir pekan,Bitcoin Cryptocurrency Another correction on Monday yesterday's high -level crypto assets since August long weekends,Negatif
ceo jpmorgan jamie dimon bahas pikir suku bunga bitcoin turut federal reserve ini perlu naik suku bunga perlu lebih tinggi,JPMORGAN CEO Jamie Dimon Discussing Thinking Bitcoin Interest Rates This Federal Reserve needs to rise interest rates need to be higher,Positif
menteri uni emirat arab thani alzeyoudi kata crypto pegang peran penting dorong dagang lebih lanjut negara sebut,United Arab Emirates Minister Thani Alzeyousudi said Crypto holding the important role of the State's further trade,Positif
francois villeroy de galhau gubernur banque de france dorong standar atur lebih ketat usaha cryptocurrency prancis ini tuju tanggap volatilitas gera harga industri kripto crypto winter baru jadi,FRANCOIS VILLERY DE GALHAU Governor Banque de France Encourages Standards to Set a tighter Cryptocurrency French business.,Positif
rohit nih bos senggol dong andi p,"Rohit, Boss, Senggol Dong Andi P",Negatif
januari cipta bitcoin pseudonim satoshi amoto tambang bitcoin pertama sekarang kenal genesis block enam hari rilis awal perangkat kamu bitcoin luncur jaring cryptocurrency,January Cipta Bitcoin Pseudonim Satoshi Amoto Amoto The first Bitcoin mine now knows Genesis Block Six Days Early Release Your device Bitcoin Luncur Cryptocurrency Net,Positif
china luncur pasar nft nonfungible token pertama kung perintah negara ada ini jadi tanda baru terap teknologi duduk area abuabu legal atur negara yang kenal ketat cryptocurrency,China Lapur Pasar NFT Nonfungible First Token Kung State commands This is a new sign of therapy technology to sit in the Legal Abuabu Legal Area Set a State Cryptocurrency,Positif
ndo wkwk sesuai apa ken,ndo wkwk according to what Ken,Negatif
ndo kalau emang k kuat naik malah turun mungkin k harap akhir bikin naik moga aja turun lebih k cuman apadayanya retail kecil tau hanya whale punya big data,"ndo if you really have to go up and go down, maybe we hope that the end will make it up, hopefully it will go down more, but it's just a small retail, you know that it only has a big data",Negatif
berita departemen hakim as sita sbf ada robinhood,News of the US Judge Department Confiscated SBF there is Robinhood,Negatif
apa bonk inu bonk koin meme shiba inu versi solana,What is Bonk Inu Bonk Coin Meme Shiba Inu version of Solana,Positif
adapun beberapa koin menggu an fitur privacy coin ini monero xmr zcash zec dash dash,As for some of the coins to use this Privacy Coin feature Monero XMR Zcash Zec Dash Dash,Positif
bahahaha,Bahahaha,Positif
hanya kerja balik layar kini perempuan bisa terjun langsung lapang kerja hasil karya sendiri,Only work back and scenes now women can go directly to the work of their own work,Positif
reminder buat udah cuan take profit berapa persen tulis pnlnya kalau realisasi wd bank kalian tidak jadi uang rasa bisa naik dari sini minimal jual aja bagi dulu aman uang,Reminder to make a cuan take profit what percentage of the PNL write if the realization of your WD bank does not feel that money can rise from here at least sell it for the first time safe money,Positif
cinta komunitas gabung kami telegram bersenangsenang lebih banyak arpa,Love the community of joining our telegrams more,Positif
ndo lihat timeframe jam btc lewat k mungkin naik dulu k doa aja bisa lewat k,ndo see the timeframe of BTC hours through k may go up first k prayer can be through k,Positif
butuh tukang pijat bisa cryptocurrency,need a massager can cryptocurrency,Positif
kata tahun rupa tahun gejolak dunia cryptocurrency kita lihat banyak peristiwa khusus jadi,The word of the year of the year of the Cryptocurrency world turmoil we saw many special events so,Positif
mau ajar cryptocurrency,Want to teach cryptocurrency,Positif
tahun nyari phd tolak bas kali lalu putus udah ah mungkin bukan rejekinya cari kerja d bidang cryptocurrency sekarang mulai rasa settle barusan dapet info bimbing pas thesis buka lowong phd hidup canda hidup dunia hanya senda gurau belaka,Year looking for phd rejecting the bass then broke up already ah ah maybe not the fortune to find work in the field of cryptocurrency now began to taste settle just got the guidance info when the thesis opens the vacant phd life's life life is only joking,Negatif
jadi sedang jalan halaman twitter cryptocurrency telegram temanteman sangat silah gabung sedang mikir panggil buat follower setia apa ahli kitab ahli kripto apa,"So it's walking on the Twitter Cryptocurrency Telegram TemanTemen, please think of calling for a loyal follower of what is the experts of the crypto expert",Positif
ayo milenial melek investasi investasi cuma sukuk emas loh juga cryptocurrency mau ajar silah daftar telegram minggu pertama gratis,Come on Millennial Investment Investment Investment Only Gold Sukuk Also Cryptocurrency Want to Teach Silah List Telegram First Week Free,Positif
hampir seluruh pasok bitcoin btc edar ada dompet bursa cryptocurrency utama akun twitter the token analyst,Almost all Bitcoin BTC Circular Supply there is a Cryptocurrency Wallet Main Main Twitter account The Token Analyst,Positif
komen tentang cryptocurrency merah komentar negatif kuning netral harga naik komentar positif,Comments about Red Cryptocurrency Comments Negative Neutral Neutral Price Rise positive comments,Positif
salah satu moda investasi cryptocurrency salah satu bukan satu sendiri cuma main cryptocurrency jangan masuk semua telor keranjang,"One of the Cryptocurrency Investment modes, one of which is not one alone, just playing cryptocurrency, don't enter all the eggs in the basket",Negatif
istilah blockchain memang bilang asing bagi besar orang internet masa awal muncul itu banyak orang bingung bahkan ragu,The term blockchain does say foreign to the big internet people in early emergence many people are confused and even doubtful,Negatif
hmmm topik sebar by frequency udah lumayan sering upload tunggu materi cryptocurrency minggu subscribe dulu la,hmmm the topic of spread by frequency is quite often uploaded waiting for the cryptocurrency material for the subscribe week first la,Positif
harga bitcoin atas juta eh bro ajarin aku cara beli bitcoin investasi cryptocurrency dong aku lihat lihat potensi tarik nih harga bitcoin turun lah kamu main kayak gituan kagak mungkin hasil kamu brooo investasi bodong people are funny,"Bitcoin price on million eh bro teach me how to buy Bitcoin Investment Cryptocurrency, I will see the potential for pulling the price of Bitcoin you play like GITUAN NOT POSSIBLE YOUR BROOO INVESTMENT BODONG BODONG ARE FUNNY FUNNY",Positif
beberapa waktu lalu ajak diskusi sama orang tarik sama blockchain giat cryptocurrency tau dikitdikit lah blockchain udah ngobrol kenal basabasimuncullah suatu tanya,Some time ago invited a discussion with people withdrawing with the Cryptocurrency Blockchain or a little bit of the blockchain already chatted the basabasimuncul a question,Positif
sebentar pasuk fase mana semua orang jadi jenius kaya cryptocurrency,for a moment when the phase is a genius like cryptocurrency,Positif
sepakbola sekarang adopsi cryptocurrency,Football is now adopting cryptocurrency,Positif
bayang dunia digital tidak situs web hancur tidak konten dapat sensor siapa selain milik domain web,"The shadow of the digital world is not a destroyed website, no content can be censored other than the web domain",Negatif
parlemen inggris cetus ide warga bayar pajak menggu an bitcoin lho eddie hughes anggota parlemen rasa parlemen mulai adaptasi dan revolusi teknologi,British Parliament Cetus Ideas Citizens Pay Taxes Use Bitcoin Youh you know Eddie Hughes Members of Parliamentary Parliament Starting Adaptation and Technology Revolution,Positif
kalau lihat komen legit gan postingan yang jelasjelas scam tuhhadeh,"if you look at the comments of the legit, bro, the post is clearly clear of the scam",Negatif
harga crypto naik bagi kalian mau mulai investasi mending beli sekarang deh pantau market caps crypto,"Crypto prices go up for those of you to start investing in buying now, monitor the Crypto Market Caps",Positif
atur anti cuci uang mulai laku uni eropa,Adjust Anti -Washing Money Starting to sell European Union,Positif
opera luncur browser baru dapat dompet crypto dalam,Opera Luncur Browser New Can Crypto Wallet in,Positif
indonesia ajar turki banyak situs blokir perintah turki bakal redirect situs isi ads bahkan mining cryptocurrency bahkan situs un sekalipun,Indonesia Teach Turkey Many Turkish Command Blocking Sites will Redirect ADS Content Sites Even Mining Cryptocurrency Even the Un Site,Negatif
pihak wenang cina tangkap orang duga laku jahat cryptojacking,Chinese wenang arrest people suspected of behavior Cryptojacking,Negatif
iran kembang cryptocurrency bank sentral larang tukar bitcoin lengkap klik,Iran Kembang Cryptocurrency Central Bank prohibits Complete Bitcoin Exchange Exchange Click,Positif
jumlah prediksi makin terus kurang iring turun harga mata uang virtual sebut,the number of predictions is increasingly lacking the procession down the price of virtual currencies.,Negatif
reddit henti terima metode bayar menggu an bitcoin image,Reddit stop receiving the payment method using Bitcoin Image,Negatif
thailand laku pajak cryptocurrency,Thailand Cryptocurrency Tax,Positif
perintah iran token baru telegram rusak mata uang nasional,orders for Iran token the new telegram to be damaged by the national currency,Negatif
g ada diskusi pisah cryptocurrency minggu depan,There is a discussion of Cryptocurrency Separation next week,Positif
regulator uang jepang tetap keluar hukum beberapa cryptocurrency exchanges minggu serta tutup bagi,Japanese money regulator remains the law of several cryptocurrency exchanges Sunday and closed for,Negatif
presiden venezuela nicholas maduro klaim hasil luncur jual petro cryptocurrency keluar pertama kali negara,President of Venezuela Nicolas Maduro claims the results of the Selling Selling Petro Cryptocurrency first came out of the country,Positif
kumamotoenergy produsen listrik lokal jepang umum mereka menggu an energi matahari tambang cryptocurrency,Kumamoto Energy Japanese Local Electric Manufacturers They Use Cryptocurrency Mine Energy,Positif
bank indonesia turut manfaat hadir teknologi blockchain jadi teknologi dasar operasi cryptocurrency misal bitcoin amp mata uang digital lain tdk tutup mungkin mata uang rupiah ubah jadi digital read more,"Bank Indonesia is also the benefit of the presence of blockchain technology so the basic technology of Cryptocurrency operations, for example, Bitcoin amp Digital Currency, may not be closed, maybe the rupiah currency changes to digital read more",Positif
atur baru sebut paksa tukar mata uang virtual malaysia amanat patuh kyc masuk kumpul dokumentasi id,Adjust the new name of the virtual currency of Malaysia's mandate to obey KYC to gather ID documentation gathering,Negatif
otaku coin cryptocurrency baru para otaku,otaku coin cryptocurrency new otaku,Positif
apa tuh cryptocurrency simak ulas,what is cryptocurrency see the review,Positif
fokus artikel atas adalh aspek positif cryptocurrency bukan aspek spekulasi spekulasi malah rusak ekosistem cryptocurrency aspek spekulasi hanya serakah yang arah bubble artikel atas lihat cryptocurrency segi inovasi bukan spekulasi,The focus of the article on the positive aspects of cryptocurrency is not the speculation aspect of speculation instead of damaged cryptocurrency ecosystem aspects of speculation only greed,Positif
prediksi jadi tren dunia teknologi tanah air tahun simak informasi dasar mata uang digital bitcoin kamu terus ikut kembang klik,"Predictions Become the trend of the world of technology in the country, see the basic information of Bitcoin digital currency. You continue to participate",Positif
mata uang digital bukti bikin orang kaya dadak contoh orang mereka jadi miliarder dunia garagara demam cryptocurrency,digital currency proof makes rich people for example their people become billionaires in the world of cryptocurrency fever,Positif
selamat malam smart people jaga yang sedang skripsi ngerjain tugas kuliah boleh istirahat seje nyimak info yang boomingboomingnya,Good evening Smart people in duty who is on thesis working on college assignments may take a break,Positif
lumayan banyak dm nanya soal bitcoin dkk coba buat thread jelasin sini aja reminder rupiah satusatunya mata uang sah indonesia amp bukan expert jadi dyor apa cryptocurrency,Quite a lot of DM asked about bitcoin et al trying to make a thread.,Positif
video jelas jatuh harga cryptocurrency,Video clearly falls on Cryptocurrency prices,Negatif
guna mata uang digital atawa cryptocurrency bitcoin etherum ripple makin luas banyak negara merespon legal meski tak sedikit boikot,for digital currency or cryptocurrency Bitcoin Ethereum Ripple is increasingly widespread many countries responding to legal even though not a few boycotts,Positif
teknisi nuklir tambang cryptocurrency pakai superkomputer,Cryptocurrency nuclear technician using supercomputer,Positif
kemerleri bagladik mi,Keerleri bagladik noodles,Negatif
bursa bitcoin jepang retas bobol rp triliun bursa uang digital cryptocurrency besar jepang,Japanese Bitcoin Exchange Retas Break Rp,Negatif
gamers kata kesal miners harga vga lonjak pakai mining cryptocurrency siap samsung buat chip no sekarang dunia kabar mensupply chip asic khusus mining pabrikan rusia china,Gamers said annoyed Miners the price of VGA BLOINE USING Cryptocurrency Mining Ready to Samsung for Chip No Now the World of News Supports ASIC Chip Special Mining Russia Chinese Manufacturers,Negatif
coincheck bursa cryptocurrency jepang bobol bagaimana nasib gaji virtual currency girls,Coincheck Japanese Cryptocurrency Exchange Breaks How the Fate of Virtual Currency Girls Salary,Negatif
cryptocurrency baru ratus token ramai pasar,New Cryptocurrency Hundreds,Positif
perhati media mainstreamlihatlah masif bahas cryptocurrency aman hebat gosah heran arah udah jelas terus klean akan bondong iya tunggu aja sesal,"Pay attention to the mainstream media, see massively discussing cryptocurrency safe great Gosah wonder the direction is clearly kept going to bonda, just wait for regret",Negatif
facebook blokir seluruh iklan cryptocurrency,Facebook Block All Cryptocurrency Ads,Negatif
salah satu cryptocurrency besar bitcoin awal sesuatu hebat mata uang perintah,One of the big Bitcoin cryptocurrency in the beginning of something great,Positif
bitcoin cryptocurrency per januari satu bitcoin tara usd naik turunnnya bitcoin sudah sadar guna investor,Bitcoin Cryptocurrency as of January one Bitcoin Tara USD up and down Bitcoin has been aware for investors,Negatif
yang minning cryptocurrency menggu an bot telegram gimana,the one who is mining cryptocurrency using the telegram bot,Positif
menkeu ingat masyarakat gu an cryptocurrency,Menkeu remembers the community of gues cryptocurrency,Positif
bitcoin cryptocurrency jadi katakata sering dengar akhirakhir yuk simak jelas wahyu anggoro bitcoin dan diskusi lebih jauh kena topik di line bagikata,"Bitcoin Cryptocurrency So the words often hear the end, let's see clearly Wahyu Anggoro Bitcoin and further discussions hit by the topic on LINE BATIKATA",Positif
sebut virtual currency tidak sebut cryptocurrency juga masuk uanguangan tempat main timezone voucher,said virtual currency does not call cryptocurrency also entered a place where to play timezone vouchers,Positif
kembang mata uang digital cryptocurrency cepat agresif fundstrat global lacak dapat kit,Cryptocurrency digital currency fast aggressive aggressive Fundstrate Global Traces can be kit,Positif
bitcoin kontolasu biadab moga mati semua ente kena ledak bubble hancur,"Bitcoin dick is a savage dick, hopefully all you have died",Negatif
bitcoin tarik,Bitcoin Pull,Positif
cerah itu bitcoin cara dapat bitcoin dgn betul bagaimana cashkan bitcoin potensi amp profit lalu bitcoin tempat pusat latih levender taman levender heights m a s u k p e r c u m a rahsia bitcoin perlu tahu,Bright Bitcoin is how to get bitcoin correctly how to check Bitcoin Potential AMP Profit then Bitcoin Place Center for Levender Levender Heights M a S U K P E R C U M A RAHSIA BITCOIN Need to Know,Positif
selamat pagi sahabat digitalexchangeid ikut update top cryptocurrencies periode desember kabar kini digital aset pagi semua harga aset alami turun harga bitcoin turun besar bagaimana kabar aset kamu hari,Good Morning Digitalixhangeid Sahabat Comes to Update Top Cryptocurrencies Period December News Now Digital Assets All Natural Assets Prices Decrease in Bitcoin Prices Derwer How YOUR ASETS YOUR ASET DAY,Negatif
analisis harga bitcoin juli kalau suka upload kayak ginian mohon masuk ya disclaimer bukan financial advice,"Bitcoin price analysis if you like to upload like this, please enter it, Disclaimer is not a financial advice",Positif
blockchain cardano what in gods name is that buat follow atau dar lihat rtan tweet pasti suka denger pintas kena halhal ikut blockchain cryptocurrency bitcoin xlm xrp btc lain bagai,Blockchain Cardano What in Gods Name is that for following or from seeing Rtan Tweet definitely listening to the shortcut of things to join Blockchain Cryptocurrency Bitcoin XLM XRP BTC other like,Positif
mau asumsi media mainstream kontrol sama elit dunia politis perintah bankir investor besar mau kaya diri dong cerita mereka udah punya crypto nih anggap aja punya bitcoin banyak org mau beli harga naik kan,"Want to assume the mainstream media control with the elite world of the world of big investor bankers want to be rich, they already have crypto, just think of having a lot of bitcoin",Positif
kurang tuju sama nyata klo bitcoin bubble bear market iya bukan belum bubble,less aimed at being real if Bitcoin Bubble Bear Market is not bubble,Negatif
sarafu kidigitali bitcoin yaporomoka thamani kwa kasi jana desemba bitcoin ilipungua thamani kwa zaidi ikishuka chini usd kwa bitcoin ikiwa ndio thamani yake ndogo zaidi kwa zaidi mwaka mmoja soma,Nerve Kidigitali Bitcoin Yaporomoka Thamani Kwa Kasi Jana Desemba Bitcoin Ilipungua Thamani Kwa Zaishuka Chini USD Kwa Bitcoin Ikiwa Ndio Thamani Yake Ndogo Zaidi Zaidi Mwaka Mwaka Mwaka Soma,Negatif
kalau punya utangcicilanpakai untuk lunas dulu mau ngasih orang tuakeluarga juga jadi juta ini tiap bulan investasi definisi investasi batas beli beli bitcoin,if you have a debt of installments to be paid off first you want to give your family's parents to be million every month the investment investment definition limits buy bitcoin buying limits,Positif
btc short btcusd xbtusd,BTC SHORT BTCUSD XBTUSD,Positif
siapa aja sih cryptocurrency ada besar coin market cap silah dicekgoogling ajar websitenya mau ngadain salah satu ini bitcoin ethereum ripple litecoin bitcoin cash eos stellar lumens cardano iota tether,"Who are the Cryptocurrency there is a large coin market stamp, please check the websites, wanting to hold one of this Bitcoin Ethereum Ripple Litecoin Bitcoin Cash Eos Stellar Lumens Cardano iota tether",Positif
event cocok mahasiswa orang tarik development blockchain tuh teknologi belakang bitcoin cryptocurrency sabtu agustus lo ka si jalan juanda no bandung pukul dont miss it,Event Suitable Student People withdraw Development Blockchain Tuh Bitcoin Cryptocurrency Rear Technology Saturday August Lo Ka Si Jalan Juanda No Bandung At Dont Miss It,Positif
pikir beli bitcoin harga juta langsung jadi jutatanpa perhati risiko si juta turun jadi juta,Think of buying Bitcoin the price of millions immediately becomes milliona pay attention to the risk of the million down to million,Negatif
argumen kenapa bitcoin layak sebut bubble sekali lg bilang argumen bisa salah dia turun lebih dan jangka waktu lebih panjang waktu lama tabel gambar dua tambah aja buat diskusi heheh,The argument why Bitcoin is worth mentioning Bubble once again says the argument can be wrong he drops more and a longer period of time Tua Table Picture two adds for discussions heheh,Negatif
lalu harga naik usd jual deh uang jadi usd anggap usd nikmatinlalu pas harga turun jadi usd beli pakai usd ada dapet bitcoin harga murah siklus ulang ulang,"Then the price goes up USD, selling money to USD, assume USD is enjoying it when the price drops so USD buy using USD, I get a cheap Bitcoin price",Positif
mending jual skrg rugi total pikir jual jual jual harga makin turun apa laku harga turun para investor elit dunia beli lah harga murah untung besar ibarat beli bitcoin usd beli usd,Better Selling Skrg Total Thinking Thinking Selling Sell Price The more down what prices go down prices for world elite investors buy cheap prices like buying Bitcoin USD Buy USD,Negatif
kira sekarang mana di fase harga jatuh nih tipsnya google aja bitcoin news today cryptocurrency news today lihat nih kalo ketik hari di google hasil,"I guess now in the price phase falls, the tips are Google, Bitcoin News Today Cryptocurrency News Today. See if type the day on google results",Positif
patut tun masuk mlm kasi setel masalah hutang negara ni tak main bitcoin main forex dulu dah kanto sekali,"It is worth entering MLM, giving a set of state debt problems, don't play Bitcoin to play forex first, it's very kanto",Positif
pak jon ken dong nanyalah si boygimana cara main crypto diajarinlah pak jon daftar exchange gimana cara jual gimana cara beli coba beli dulu juta rupiah ke bitcoin besok juta tadi langsung jadi juta keranjingan,Mr. Jon Ken Dong is just the boygimana how to play crypto taught Mr. Jon list exchange how to sell how to sell how to buy try to buy million rupiahs to Bitcoin tomorrow million will immediately be millions,Positif
karena bitcoin dominasi lihat aja market cap bitcoin hampir tengah total kapital lalu semua exchange kalo mau nukar sama fiat nukarnya sama bicoin,"Because Bitcoin is dominated, just look at the Bitcoin market cap almost to the middle of a total capital then all exchanges if you want to exchange with fiat are the same",Positif
karena bitcoin udah curi start banding altcoin hampir taun iya mungkin mengeciltapi it takes time skala nya tahun eth xrp mungkin ngalahin btc,Because Bitcoin is already stealing the start of the appeal Altcoin almost knows yes maybe shrinking it takes time scale,Positif
banyak berita sumber media tidak familiar kan macem coindesk segala saya yakin banyak baru denger lol nah beda saat bulan novemberdesember coba googling bitcoin news december november,"a lot of media news is not familiar, right, all the coindesk, I'm sure a lot of you will hear LOL, it's different in November, try to googling bitcoin news Decembers November",Positif
fud fear uncertainty and doubt berita bikin takut harga jatuh misal berita is this the selesai of bitcoin padahal harga cuma turun fudster orang nyebarin fud,FUD FEAR UNCENATAINTY AND Double News makes fear that the price falls for example the news is the completion of bitcoin even though the price only goes down fudster people spread fud,Negatif
lets start nih cerita ya bas coin btc act bcd bch btg eth etc ignis ltc nxt stq ten waves xlm xrp xzc dash doge semua singkat kayak main misal bbca bank bca btc bitcoin eth ethereum,"Lets Start, the story is the bass coin btc act bcd bch btg etc. rygnis ltc nxt stq ten waves xlm xzc dash doge all short like playing bbca bank btc bitcoin ethheum ethheum",Negatif
regulationgovernments misal nih berita perintah india mau ngeban bitcoin harga bakal turun berita tu fud misal ada atur baru kena pajak main crypto nah bakal buat harga turun naik,"regulation government, for example, the news of Indian orders want to burden Bitcoin prices will go down the news, for example, there is a new set of taxable to play crypto, so it will make prices up and down",Negatif
whale alias bandar misal suatu exchange rb coin misal bitcoin orang banyak cuma punya bitcoin nah orang punya bitcoin bisa mudah nyetir harga jual bitcoinnya aja turun drastis tuh harga,"Whale aka Bandar, for example, an Exchange RB Coin, for example, bitcoin, many people only have bitcoin, well, people have bitcoin can easily drive the selling price of bitcoin.",Negatif
arbitrage ngambil untung beda harga exchange beda misal beli bitcoin indonesia lalu jual pasar amerika fomo fear of missing out asa mau tinggal kereta harga naik mungkin naik lebih jauh,"Arbitrage takes a profit of different exchange prices, for example, buying Bitcoin Indonesia and then sells the American market Fomo Fear of Missing Out Asa want to stay the train price rises further",Negatif
